,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-,NHLe
118,Columbus Blue Jackets,Drew Olson,US,F,18,,Brainerd HS ,High-MN,,,,,,,5′ 11,215,N/A,0,0,0,0,0,0,0,25,17,16,33,1.32,0,,6.92736
119,Ottawa Senators,Derek Grant,CA,C,18,2023,Langley ,BCHL,393,53,63,116,-42,145,6′ 3,190,PIJHL,47,31,20,51,1.09,42,0,57,24,39,63,1.11,44,0,5.82528
120,Pittsburgh Penguins,Nathan Moon,CA,C,18,,Kingston Frontenacs ,OHL,,,,,,,5′ 11,179,OHL,56,13,27,40,0.71,39,2,68,35,42,77,1.13,79,25,5.93024
121,Detroit Red Wings,Gustav Nyquist,SE,RW,19,2023,Malmo Jr. ,Sweden Jr.,672,167,242,409,-8,180,5′ 10,169,Sweden Jr.,42,21,23,44,1.05,57,10,24,11,20,31,1.29,20,9,6.76992
123,Los Angeles Kings,Andrei Loktionov,RU,C,18,2014,Lokomotiv Yaroslavl 2 ,Russia-3,155,22,26,48,-6,22,5′ 10,180,Russia-3,33,7,21,28,0.85,28,18,31,8,22,30,0.97,8,0,5.09056
124,Atlanta Thrashers,Nicklas Lasu,SE,LW,18,,Frolunda HC Jr. ,Sweden Jr.,,,,,,,5′ 11,176,Sweden Jr.,39,11,14,25,0.64,30,0,41,19,34,53,1.29,42,0,6.76992
125,St. Louis Blues,Kristofer Berglund,SE,D,20,,IF Bjorkloven ,Sweden-2,,,,,,,5′ 10,180,Sweden Jr.,30,4,22,26,0.87,38,3,27,0,1,1,0.04,6,2,0.20992
127,Columbus Blue Jackets,Matt Calvert,CA,LW,18,2021,Brandon Wheat Kings ,WHL,566,95,108,203,-23,376,5′ 9,164,MMHL,30,28,55,83,2.77,46,0,72,24,40,64,0.89,53,26,4.67072
128,Toronto Maple Leafs,Greg Pateryn,US,D,18,2022,Ohio Junior Blue Jackets ,USHL,290,5,39,44,-13,178,6′ 2,212,USHS-MI,27,9,19,28,1.04,44,0,60,3,24,27,0.45,145,1,2.3616
129,Toronto Maple Leafs,Joel Champagne,CA,C,18,,Chicoutimi Sagueneens ,QMJHL,,,,,,,6′ 4,210,QMJHL,62,6,16,22,0.35,51,12,70,18,22,40,0.57,45,1,2.99136
130,Toronto Maple Leafs,Jerome Flaake,DE,LW,18,,Kolner Haie ,Germany,,,,,,,6′ 2,187,DNL,36,32,32,64,1.78,36,0,30,0,1,1,0.03,4,1,0.15744
131,Vancouver Canucks,Prab Rai,CA,C,18,,Seattle Thunderbirds ,WHL,,,,,,,5′ 11,191,WHL,62,7,17,24,0.39,30,4,72,20,45,65,0.9,21,31,4.7232
132,Chicago Blackhawks,Teigan Zahn,CA,D,18,,Saskatoon Blades ,WHL,,,,,,,6′ 2,222,WHL,39,0,3,3,0.08,68,19,69,4,15,19,0.28,104,28,1.46944
